1| ทดสอบระบบการจองรถ| 6| สสจ.อำนาจเจริญ| 2022-11-14 08:00:00| 2022-11-14 16:30:00| 2022-11-14 10:40:10| 2022-12-14 13:11:37| 1| 6| 1| 2| 6| I| 
2| สำนักงานสาธารณสุขจังหวัดอุบลราชธานี| 1| sdddddd| 2022-11-14 00:00:00| 2022-11-14 00:00:00| 2022-11-14 11:31:02| 2022-12-14 11:37:20| 1| | 2| 1| 6| I| 
3| ประชุม Data Analysys | 10| SDFSDFSDFSDF| 2022-11-14 08:40:00| 2022-11-14 17:40:00| 2022-11-14 11:44:37| 2022-11-14 15:23:41| 1| | 1| 1| 189| I| 
4| ระชุมการพัฒนาระบบส่งข้อมูล Phr| 1| เด้อครับ| 2022-11-14 08:20:00| 2022-11-14 16:20:00| 2022-11-14 15:25:04| 2022-11-15 14:34:43| 1| 189| 2| 3| 189| I| 
6| ประชุมการพัฒนาระบบส่งข้อมูล His Gateway| 1| Test His GatewaY| 2022-11-14 08:00:00| 2022-11-14 16:45:00| 2022-11-14 16:36:22| 2022-11-15 13:05:52| 1| | 1| 1| 189| I| 
7| ระชุมการพัฒนาระบบส่งข้อมูล Phrxxxxxxx| 5| สำนักงานสาธารณสุขจังหวัดอุบลราชธานี| 2022-11-15 08:00:00| 2022-11-15 16:00:00| 2022-11-15 08:20:45| 2022-11-15 13:06:32| 1| 6| | | 189| I| 
8| ประชุมการพัฒนาระบบส่งข้อมูล His Gatewayodosdo| 1| สำนักงานสาธารณสุขจังหวัดอุบลราชธานี  นะครับ| 2022-11-15 08:00:00| 2022-11-15 16:40:00| 2022-11-15 11:01:57| 2022-11-15 13:07:48| 1| | | | 189| I| 
9| ประชุมการพัฒนาระบบส่งข้อมูล His Gatewayodosdo| 1| สำนักงานสาธารณสุขจังหวัดอุบลราชธานี  นะครับ| 2022-11-15 08:00:00| 2022-11-15 16:40:00| 2022-11-15 11:13:11| 2022-11-15 13:07:59| 1| | | | 189| I| 
10| ทดสอบระบบการจองรถ| 1| สำนักงานสาธารณสุขจังหวัดนครพนม | 2022-11-15 08:00:00| 2022-11-15 20:45:00| 2022-11-15 14:51:29| 2022-11-16 14:33:29| 1| 189| 2| 1| 189| I| 
11| ประชุมการพัฒนาระบบส่งข้อมูล His Gateway| 1| สวนคุณตากอล์ฟ วารินชำราย| 2022-11-15 08:00:00| 2022-11-15 17:55:00| 2022-11-15 14:58:02| 2022-11-15 16:09:00| 1| 189| 1| | 6| I| 
12| ประชุมการพัฒนาระบบส่งข้อมูล His Gateway| 1| สวนคณตากอล์ฟ วารินชำราบ อุบลราชธานี| 2022-11-16 08:00:00| 2022-11-16 14:55:00| 2022-11-15 15:00:04| 2022-11-15 16:08:45| 1| 189| 1| 8| 6| I| 
13| ไป สสจ.อบ  ส่งการเงินประชุม| 1| ไป ประชุม สสจ.| 2022-11-17 08:00:00| 2022-11-17 16:00:00| 2022-11-16 14:41:39| 2022-11-16 14:43:17| 1| 189| 2| 2| 189| I| 
14| สำนักงานสาธารณสุขจังหวัดอุบลราชธานี| 1| ประชุมทดสอบ| 2023-04-18 08:20:00| 2023-04-18 17:20:00| 2023-04-18 11:23:55| 2023-06-01 13:34:46| 1| 6| 1| | 6| I| 
15| สสจ.อุบลราชธานี| 1| ปปปปป| 2023-05-25 09:35:00| 2023-05-25 18:35:00| 2023-05-25 09:39:22| 2023-05-31 15:30:58| 1| 6| 2| | 105| I| 
16| รพ.สต.ผักกระย่า| 2| เยี่ยมบ้าน| 2023-05-26 09:00:00| 2023-05-25 16:00:00| 2023-05-25 14:26:18| 2023-05-26 10:43:37| 1| 189| 2| | 6| I| 
17| ทดสอบระบบการจองรถ| 1| mflv[| 2023-05-25 07:45:00| 2023-05-25 17:45:00| 2023-05-25 15:52:13| 2023-05-26 11:16:38| 1| 6| 1| | 6| I| 
18| ประชุมการพัฒนาระบบส่งข้อมูล His Gateway| 1| ทดสอบระบบจองรถยนต์| 2023-05-26 07:35:00| 2023-05-26 17:50:00| 2023-05-25 15:58:59| 2023-05-26 11:16:50| 1| 6| 2| 1| 6| I| 
19| ประชุม Data Analysys | 1| TEst ทดสอบยิงไลน์| 2023-05-25 08:20:00| 2023-05-25 18:20:00| 2023-05-25 16:29:25| 2023-05-25 16:29:25| 1| 6| | | 6| I| 
20| ระชุมการพัฒนาระบบส่งข้อมูล Phr| 1| ทดสอบระบบไลน์แจ้งเตือน| 2023-05-25 12:20:00| 2023-05-25 17:25:00| 2023-05-25 16:30:51| 2023-05-25 16:30:51| 1| 6| | | 6| I| 
21| ไปธนาคาร ธกส.| 1| ฝากเงิน| 2023-05-31 14:30:00| 2023-05-31 15:00:00| 2023-05-31 11:43:33| 2023-05-31 15:10:57| 1| 189| | | 189| I| 
22| pcu ม่วงสามสิบ| 2| ออกเยี่ยมบ้าน| 2023-05-31 13:05:00| 2023-05-31 14:05:00| 2023-05-31 14:07:03| 2023-06-01 15:16:43| 1| 238| 3| | 6| I| 27
23| รพ.สต.หนองไข่นก| 2| CMU| 2023-06-02 08:00:00| 2023-06-02 16:00:00| 2023-05-31 14:13:15| 2023-06-01 21:43:32| 1| 208| 3| 5| 290| I| 3
24| หนองเมือง| 2| ออกเยี่ยมบ้าน| 2023-06-01 09:00:00| 2023-06-01 16:00:00| 2023-05-31 14:16:26| 2023-06-01 15:18:47| 1| 267| 3| 5| 6| I| 9
25| หนองฮาง| 2| ออกเยี่ยมบ้าน(ไต)
| 2023-06-02 09:00:00| 2023-06-02 16:00:00| 2023-05-31 14:19:27| 2023-06-01 21:44:24| 1| 267| 4| 9| 290| I| 9
26| pcu ม่วงสามสิบ| 2| ออกเยี่ยมเขตม่วงสามสิบ| 2023-06-02 13:00:00| 2023-06-02 16:00:00| 2023-05-31 14:25:28| 2023-06-01 21:45:15| 1| 250| 4| 2| 290| I| 16
27| หนองไข่นก| 2| ออกเยี่ยมบ้าน| 2023-06-02 09:00:00| 2023-06-02 12:00:00| 2023-05-31 14:27:55| 2023-06-01 21:44:53| 1| 240| 3| 5| 290| I| 27
28| โพนแพง| 2| ออกเยี่ยมบ้าน| 2023-06-07 09:00:00| 2023-06-07 12:00:00| 2023-05-31 14:29:21| 2023-06-06 15:42:04| 1| 240| 3| 4| 189| I| 27
29| สร้างมิ่ง| 2| ออกเยี่ยมบ้าน| 2023-06-08 09:00:00| 2023-06-08 12:00:00| 2023-05-31 14:30:07| 2023-06-06 15:46:59| 1| 240| 3| 3| 189| I| 27
