hospcode|vid|ntraditional|nmonk|nreligionleader|nbroadcast|nradio|npchc|nclinic|ndrugstore|nchildcenter|npschool|nsschool|ntemple|nreligiousplace|nmarket|nshop|nfoodshop|nstall|nraintank|nchickenfarm|npigfarm|wastewater|garbage|nfactory|latitude|longitude|outdate|numactually|risktype|numstateless|nexerciseclub|nolderlyclub|ndisableclub|nnumberoneclub|d_update
10953|34140101|||||||0|0|0|1|0|||0|||||0|0|||0|||||||2|1|0|1|20240319085639
10953|34140102|||||||||0|1|0|||||||||||||||||||1|1|0|1|20240319085639
10953|34140104|||||||0|0|0|1|0|||0|||||0|0|||0|||||||1|1|0|1|20240319085639
10953|34140105|||||||0|0|0|0|2|||0|||||0|0|||0|||||||1|1|0|1|20240319085639
10953|34140107|||||||||0|1|0|||||||||||||||||||1|1|0|1|20240319085639
10953|34140108|||||||||1|1|1|||||||||||||||||||1|2|0|1|20240319085639
10953|34140110|||||||||0|0|1|||||||||||||||||||1|1|0|1|20240319085639
10953|34140111|||||||||0|1|0|||||||||||||||||||1|1|0|1|20240319085639
10953|34140112|||||||0|0|2|0|0|||0|||||0|0|||0|||||||1|1|0|1|20240319085639
10953|34140103||||||||||||||||||||||||||||||1|1|0|1|20240319085639
10953|34140106||||||||||||||||||||||||||||||1|1|0|1|20240319085639
10953|34140109||||||||||||||||||||||||||||||1|1|0|1|20240319085639
10953|34140113||||||||||||||||||||||||||||||||||20240319085639
10953|34140114||||||||||||||||||||||||||||||||||20240319085639
10953|34140115||||||||||||||||||||||||||||||||||20240319085639
10953|34140116||||||||||||||||||||||||||||||||||20240319085639
